#################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# vrs620.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Version 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Prof. Dr. Peter A. Henning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GNU GPL V2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# type (r;w;u;1-9),class,name,comment,QQ,ZZ,PBSB,ID,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment
w,HC,PreheatTime,Vorheizzeit (in h),,26,B505,10,,,UCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,MIX,PreheatTime,Vorheizzeit (in h),,50,B505,10,,,UCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,HWC,LoadPumpDelayTime,Nachladeverzögerungszeit  ,,25,B505,11,,,UCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,HWC,LoadPumpTrailTime,Ladepumpennachlaufzeit 3-9,,25,B505,12,,,UCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,HWC,LegionellaProt,Legionellenschutz an/aus,,25,B505,13,,,UCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,HWC,ParallelLoad,Parallele Ladung an/aus,,25,B505,14,,,onoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,SOL,StorageMax1,Maximaltemperatur Solarspeicher 1,,EC,B505,1A,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,SOL,StorageHyst1,Hysterese Solarspeicher 1,,EC,B505,1B,,,temp0;temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,SOL,OutsideTempOffset1,Temperaturoffset,,EC,B505,1C,,,temps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,SOL,StorageMax2,Maximaltemperatur Solarspeicher 2,,EC,B505,1D,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,SOL,StorageHyst2,Hysterese Solarspeicher 2,,EC,B505,1E,,,temp0;temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,SOL,OutsideTempOffset2,Temperaturoffset ??,,EC,B505,1F,,,temps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,SOL,ResetSolarYield,Rücksetzen Solarertrag,,EC,B505,20,,,yesno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,SOL,SolarFlow,Solarer Durchfluss in l/h,,EC,B505,21,,,uin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,HWC,PreDeactivationTime,Vorabschaltung 15-120 (in Schritten von 15 Minuten),,25,B505,23,,,UCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,SOL,EDControl,ED-Steuerung,,EC,B505,23,,,onoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,HC,DistantRoomTemp,Erwartet 5 Bytes 3C fest/ Roomtemp/ Roomtem+Offset,,26,B505,2B,,,status;temp;temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,HC,Flow,erwartet 3 Bytes Status/ temp/ status ?,,26,B505,2D,,,temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
################################# Cyclic Messages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,MS,OperatingModeHWC,Targettemperatur/Mode,10,25,B505,01,,,temp0;hwmode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,MS,Status2HWC,Status Warmwasserkreis:Status; Ladung;  SP1; Target; ,10,25,B505,0D,,,status;status;temp;temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,MS,DateTimeOutsideTemp,Uhrzeit/Datum/Außentemperatur,10,26,B505,00,,,IGN:1,,,,,,BTI,,,,,,HDA,,,,,,D2B,,,,,,,,,,,, ,,,
u,MS,OperatingModeHC,Raumtemperatur/Mode,10,26,B505,01,,,temp0;mcmode,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,
u,MS,Status2aHC,Status Heizkreis,10,26,B505,0D,,,temp0;status;temp;status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,MS,OperatingModeSOL,,10,EC,B505,01,,,temp0;hwmode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,MS,StatusSOL3,KollTemp/Status/Füllung/Power,10,EC,B505,21,,,temp1;skip;status;percent0;percent0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,MS,OperatingModeMIX,Raumtemperatur/Mode,10,50,B505,01,,,temp0;mcmode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,MS,Status2aMIX,Status Heizkreis,10,50,B505,0D,,,temp0;status;temp;status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,MS,SetBoiler,VL Soll,10,08,B510,00,,,status;temp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,MS,StatusHC,VL RL status,10,08,B511,01, ,,temp1;temp1;status;status;skip;skip;status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,BC,OutsideTempBC,Außentemperatur  ,10,FE,B516,01,,,D2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,BC,DateTimeBC,Uhrzeit/Datum,10,FE,B516,00,,,BTI,,,,,,HDA,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,BC,DateTimeBC2,Uhrzeit/Datum,10,FE,0700,,,,IGN:2,,,,,,BTI,,,,,,HDA,,,,,,,,,,,,,,,,,,,,,
u,BC,Störung,comment,10,FE,FE01,,,,IGN:5,,,,errcode,,UCH,,,,,,UCH,,,,,,,,,,,,,,,,,,,,,
