#################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# vrs620.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Version 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Prof. Dr. Peter A. Henning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# GNU GPL V2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# type (r;w;u;1-9),class,name,comment,QQ,ZZ,PBSB,ID,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment,field,part (m;s),type / templates,divider / values,unit,comment
r,SOL,FlowTemp2,??,,EC,,3300,,,temp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,HC,HeatingCurve,Heizkurve,,26,,3500,,,uin100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,MIX,HeatingCurve,Heizkurve,,50,,3500,,,uin100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,LcdContrast,Kontrast Display,,,,3600,,,UCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,HC,OutsideTempLimit,Abschalttemperatur,,26,,3600,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,MIX,OutsideTempLimit,Abschalttemperatur,,50,,3600,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,PreHeatingTimeMax,Voraufheizung MAX,,,,3800,,,hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,HC,PreHeatingTimeMax,Voraufheizung MAX,,26,,3800,,,hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,MIX,PreHeatingTimeMax,Voraufheizung MAX,,50,,3800,,,hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,MIX,FloorDryingDay,Estrichtrocknung Tag,,50,,3B00,,,daysel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,HeatingCircuitType,??,,,,3C00,,,mctype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,HC,HeatingCircuitType,??,,26,,3C00,,,mctype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,MIX,HeatingCircuitType,??,,50,,3C00,,,mctype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,NameHC,Name Heizkreis,,,,4100,,,STR:10,,,,,,IGN:1,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,NameMIX,Name Mischerkreis,,,,4108,,,STR:10,,,,,,IGN:1,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,HolidayPeriod,Ferien Zeitraum,,,,4300,,,HDA:3,,,,,,HDA:3,,,,,,HDA:3,,,,,,HDA:3,,,,,,,,,,,,,,,
r,,SolarYieldJan,Solarer Ertrag Januar ,,,,4400,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldFeb,Solarer Ertrag Februar ,,,,4408,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldMar,Solarer Ertrag März,,,,4410,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldApr,Solarer Ertrag April,,,,4418,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldMay,Solarer Ertrag Mai,,,,4420,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldJun,Solarer Ertrag Juni,,,,4428,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldJul,Solarer Ertrag Juli,,,,4430,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldAug,Solarer Ertrag August,,,,4438,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldSep,Solarer Ertrag September,,,,4440,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldOct,Solarer Ertrag Oktober,,,,4448,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldNov,Solarer Ertrag November,,,,4450,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldDec,Solarer Ertrag Dezember,,,,4458,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldJanPrev,Solarer Ertrag Januar voriges Jahr,,,,4400,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldFebPrev,Solarer Ertrag Februar voriges Jahr,,,,4408,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldMarPrev,Solarer Ertrag März voriges Jahr,,,,4410,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldAprPrev,Solarer Ertrag April  voriges Jahr,,,,4418,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldMayPrev,Solarer Ertrag Mai voriges Jahr,,,,4420,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldJunPrev,Solarer Ertrag Juni voriges Jahr,,,,4428,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldJulPrev,Solarer Ertrag Juli voriges Jahr,,,,4430,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldAugPrev,Solarer Ertrag August voriges Jahr,,,,4438,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldSepPrev,Solarer Ertrag September voriges Jahr,,,,4440,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldOctPrev,Solarer Ertrag Oktober voriges Jahr,,,,4448,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldNovPrev,Solarer Ertrag November voriges Jahr,,,,4450,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYieldDecPrev,Solarer Ertrag Dezember voriges Jahr,,,,4458,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,SolarYield2,Solarer Ertrag – welche Periode ???,,,,4600,,,UIN,,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,HC,FlowTempDesired,Vorlauftemperatur Soll,,26,,4600,,,temp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,MIX,FlowTempDesired,Vorlauftemperatur Soll,,50,,4600,,,temp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Time,Uhrzeit,,,,5F00,,,VTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Date,Datum,,,,6100,,,HDA:3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,StartHolidayPeriod1,Anfang Ferienperiode 1 (vorher Status),,,,6B00,,,IGN:1,,,,,,HDA:3,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,EndHolidayPeriod1,Ende Ferienperiode 1 (vorher Status),,,,6C00,,,IGN:1,,,,,,HDA:3,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,FloorProtectionTempLimit,Fußbodenschutz Temp > VF2,,,,7B01,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,SOL,Reg81,Reg81,,EC,,8100,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,SOL,SolarProtection,Solarkreisschutz,,EC,,8200,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,SOL,Reg83,Reg83,,EC,,8300,,,temp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
################################# Register Messages Boiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*r,THER,,,,08,B509,0D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Reg00,Reg00,,,,0000,,,status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Reg01,Reg01,,,,0100,,,HEX,,,,,,HEX,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Pressure,Fülldruck,,,,0200,,,press;sensor,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Reg03,Reg03,,,,0300,,,HEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,Reg04,Reg04,,,,0400,,,HEX,,,,,,HEX,,,,,,,,,,,,,,,,,,,,,,,,,,,
