Files with a maintainer. If you wish to change a file, please contact the
maintainer of the file to do the change.

The third column specifies, where/how the maintainer should be contacted. If
there is no reaction from the mainainer within 3 weeks, then rudolfkoenig
(forum.fhem.de/FHEM Forum) should be contacted, in order to assign a new
maintainer.

When adding a new file, add yourself as the maintainer.

File                         Maintainer           Forum
FHEM/20_FRM_RBG.pm           ntruchsess           Sonstige Systeme
FHEM/20_FRM_SERVO.pm         ntruchsess           Sonstige Systeme
FHEM/20_FRM_STEPPER.pm       ntruchsess           Sonstige Systeme
FHEM/20_OWFS.pm              mfr69bs              1Wire (deprecated)
FHEM/20_X10.pm               neubert              SlowRF
FHEM/20_ROOMMATE.pm          loredo               Automatisierung
FHEM/20_GUEST.pm             loredo               Automatisierung
FHEM/20_N4HBUS.pm            okoerber             Sonstige Systeme
FHEM/21_N4HMODULE.pm         okoerber             Sonstige Systeme
FHEM/21_VBUSDEV.pm           Tobias/pejonp        Sonstige Systeme
FHEM/21_OWAD.pm              pahenning            1Wire
FHEM/21_OWCOUNT.pm           pahenning            1Wire
FHEM/21_OWID.pm              pahenning            1Wire
FHEM/21_OWLCD.pm             pahenning            1Wire
FHEM/21_OWMULTI.pm           pahenning            1Wire
FHEM/21_OWSWITCH.pm          pahenning            1Wire
FHEM/21_OWTEMP.pm            mfr69bs              1Wire (deprecated)
FHEM/21_OWTHERM.pm           pahenning            1Wire
FHEM/21_OWVAR.pm             pahenning            1Wire
FHEM/21_SONOSPLAYER          Reinerlein           Multimedia
FHEM/21_HEOSMaster           CoolTux              Multimedia
FHEM/21_HEOSPlayer           CoolTux              Multimedia
FHEM/21_HEOSGroup            CoolTux              Multimedia
FHEM/22_ALL3076.pm           sachag               Sonstiges
FHEM/22_HOMEMODE.pm          DeeSPe               Automatisierung
FHEM/23_ALL4027.pm           sachag               Sonstiges
FHEM/23_KOSTALPIKO.pm        john                 CodeSchnipsel
FHEM/23_LUXTRONIK2.pm        tupol                Heizungssteuerung/Raumklima (link als PM an tupol)
FHEM/23_WEBIO.pm             sachag               Sonstiges
FHEM/23_WEBIO_12DIGITAL.pm   sachag               Sonstiges
FHEM/24_NetIO230B.pm         rudolfkoenig/orphan  Sonstiges
FHEM/24_TPLinkHS110.pm	     VolkerKettenbach     Sonstige Systeme
FHEM/26_tahoma.pm            mike3436             Sonstige Systeme
FHEM/30_DUOFERN              telekatz             Sonstige Systeme
FHEM/30_HUEBridge.pm         justme1968           Beleuchtung
FHEM/30_LIGHTIFY.pm          justme1968           Beleuchtung
FHEM/30_MilightBridge.pm     mattwire             Beleuchtung
FHEM/30_ENECSYSGW.pm         akw                  Sonstige Systeme
FHEM/30_pilight_dimmer.pm    risiko               Sonstige Systeme
FHEM/30_pilight_switch.pm    risiko               Sonstige Systeme
FHEM/30_pilight_temp.pm      risiko               Sonstige Systeme
FHEM/30_pilight_raw.pm       risiko               Sonstige Systeme
FHEM/30_pilight_smoke.pm     risiko               Sonstige Systeme
FHEM/30_pilight_contact.pm   risiko               Sonstige Systeme
FHEM/31_Aurora.pm            justme1968           Beleuchtung
FHEM/31_HUEDevice.pm         justme1968           Beleuchtung
FHEM/31_Nello.pm             neumann              Sonstige Systeme
FHEM/31_PLAYBULB.pm          CoolTux              Beleuchtung
FHEM/31_MilightDevice.pm     mattwire             Beleuchtung
FHEM/31_ENECSYSINV.pm        akw                  Sonstige Systeme
FHEM/31_LightScene.pm        justme1968           Automatisierung
FHEM/32_SYSSTAT.pm           justme1968           Unterstuetzende Dienste
FHEM/32_mailcheck.pm         justme1968           Automatisierung
FHEM/32_TechemHKV.pm         herrmannj            Heizungssteuerung/Raumklima
FHEM/32_TechemWZ.pm          herrmannj            Sonstiges
FHEM/32_TechemSD.pm          herrmannj            Sonstiges
FHEM/32_WifiLight.pm         herrmannj            Beleuchtung
FHEM/32_yowsup.pm            justme1968           Unterstuetzende Dienste
FHEM/32_withings.pm          markus-m             Sonstiges
FHEM/33_readingsChange.pm    rudolfkoenig         Automatisierung
FHEM/33_readingsGroup.pm     justme1968           Frontends/readingsGroup readingsHistory
FHEM/33_readingsHistory.pm   justme1968           Frontends/readingsGroup readingsHistory
FHEM/33_readingsProxy.pm     justme1968           Automatisierung
FHEM/32_speedtest.pm         justme1968           Sonstiges
FHEM/34_ESPEasy.pm           dev0                 Bastelecke/ESP8266
FHEM/34_NUT.pm               creideiki            Sonstige Systeme
FHEM/34_panStamp.pm          justme1968           Sonstige Systeme
FHEM/34_SWAP.pm              justme1968           Sonstige Systeme
FHEM/35_SWAP_0000002200000003.pm     justme1968   Sonstige Systeme
FHEM/35_SWAP_0000002200000008.pm     justme1968   Sonstige Systeme
FHEM/36_EC3000.pm            justme1968           Sonstige Systeme
FHEM/36_EleroDrive.pm        HCS                  Sonstige Systeme
FHEM/36_EleroStick.pm        HCS                  Sonstige Systeme
FHEM/36_EleroSwitch.pm       HCS                  Sonstige Systeme
FHEM/36_JeeLink.pm           justme1968           Sonstige Systeme
FHEM/36_KeyValueProtocol.pm  HCS                  Sonstige Systeme
FHEM/36_PCA301.pm            justme1968           Sonstige Systeme
FHEM/36_PrecipitationSensor.pm HCS                Sonstige Systeme
FHEM/36_LaCrosse.pm          HCS                  Sonstige Systeme
FHEM/36_LaCrosseGateway.pm   HCS                  Sonstige Systeme
FHEM/36_EMT7110.pm           HCS                  Sonstige Systeme
FHEM/36_Level.pm             HCS                  Sonstige Systeme
FHEM/36_Vallox.pm            Skjall               http://forum.fhem.de/index.php/topic,71325.0.html
FHEM/36_WMBUS.pm             kaihs                Sonstige Systeme
FHEM/37_NotifyAndroidTV.pm   justme1968           Multimedia
FHEM/37_SHC.pm               rr2000               Sonstige Systeme
FHEM/37_SHCdev.pm            rr2000               Sonstige Systeme
FHEM/37_Spotify.pm           neumann              Multimedia
FHEM/37_dash_dhcp.pm         justme1968           Sonstige Systeme
FHEM/37_fakeRoku.pm          justme1968           Multimedia
FHEM/37_harmony.pm           justme1968           Multimedia
FHEM/37_plex.pm              justme1968           Multimedia
FHEM/38_Broadlink.pm         daniel2311           http://forum.fhem.de/index.php/topic,71972.0.html
FHEM/38_netatmo.pm           markus-m             http://forum.fhem.de/index.php/topic,53500.0.html
FHEM/38_CO20.pm              markus-m             Sonstiges
FHEM/38_JawboneUp.pm         domschl              Sonstiges
FHEM/39_alexa.pm             justme1968           Frontends/Sprachsteuerung
FHEM/39_siri.pm              justme1968           Frontends/Sprachsteuerung
FHEM/39_Talk2Fhem.pm         Phill                Frontends/Sprachsteuerung
FHEM/40_RFXCOM.pm            wherzig              RFXTRX
FHEM/41_OREGON.pm            Sidey/Ralf9          Sonstiges
FHEM/42_RFXMETER.pm          wherzig              RFXTRX
FHEM/42_SMARTMON.pm          hexenmeister         Unterstuetzende Dienste
FHEM/42_SYSMON.pm            hexenmeister         Unterstuetzende Dienste
FHEM/42_Nextion.pm           viegener             Bastelecke
FHEM/42_AptToDate.pm         CoolTux              Sonstige Systeme
FHEM/43_RFXX10REC.pm         wherzig              RFXTRX
FHEM/44_S7.pm                charlie71            Sonstige Systeme
FHEM/44_S7_ARead.pm          charlie71            Sonstige Systeme
FHEM/44_S7_AWrite.pm         charlie71            Sonstige Systeme
FHEM/44_S7_Client.pm         charlie71            Sonstige Systeme
FHEM/44_S7_DRead.pm          charlie71            Sonstige Systeme
FHEM/44_S7_DWrite.pm         charlie71            Sonstige Systeme
FHEM/44_S7_S5Client.pm       charlie71            Sonstige Systeme
FHEM/44_S7_S7Client.pm       charlie71            Sonstige Systeme
FHEM/44_TEK603.pm            eisler               Sonstige Systeme
FHEM/45_Plugwise.pm          icinger              Sonstige Systeme
FHEM/45_TRX.pm               KernSani             RFXTRX
FHEM/46_PW_Circle.pm         icinger              Sonstige Systeme
FHEM/46_PW_Scan.pm           icinger              Sonstige Systeme
FHEM/46_PW_Sense.pm          icinger              Sonstige Systeme
FHEM/46_PW_Switch.pm         icinger              Sonstige Systeme
FHEM/46_TRX_ELSE.pm          KernSani             RFXTRX
FHEM/46_TRX_LIGHT.pm         KernSani             RFXTRX
FHEM/46_TRX_SECURITY.pm      KernSani             RFXTRX
FHEM/46_TRX_WEATHER.pm       KernSani             RFXTRX
FHEM/46_SmartPi.pm           CoolTux              Sonstige Systeme
FHEM/46_TeslaPowerwall2AC.pm CoolTux              Solaranlagen
FHEM/46_Aqicn.pm             CoolTux              Sonstige Systeme
FHEM/47_OBIS.pm              icinger              Sonstige Systeme
FHEM/49_IPCAM.pm             mfr69bs              Sonstiges
FHEM/49_SSCAM.pm             DS_Starter           Sonstiges
FHEM/49_SSCamSTRM.pm         DS_Starter           Sonstiges
FHEM/49_TBot_List.pm         viegener             Unterstuetzende Dienste
FHEM/50_HP1000.pm            loredo               Heizungssteuerung/Raumklima
FHEM/50_MOBILEALERTSGW.pm    MarkusF              Sonstige Systeme
FHEM/50_WS300.pm             Dirk                 SlowRF
FHEM/50_TelegramBot.pm       viegener             Unterstuetzende Dienste
FHEM/51_I2C_BH1750.pm        arnoaugustin         Einplatinencomputer (bitte auch PM)
FHEM/51_I2C_BMP180.pm        Dirk                 Einplatinencomputer
FHEM/51_MOBILEALERTS.pm      MarkusF              Sonstige Systeme
FHEM/51_Netzer.pm            klausw               Sonstige Systeme
FHEM/51_RPI_GPIO.pm          klausw               Einplatinencomputer
FHEM/52_I2C_DS1307           ntruchsess           Sonstige Systeme
FHEM/52_I2C_EEPROM.pm        klausw               Sonstige Systeme
FHEM/52_I2C_EMC1001.pm       eisler               Sonstige Systeme
FHEM/52_I2C_HDC1008.pm       yoda_gh              Sonstige Systeme
FHEM/52_I2C_LCD              ntruchsess           Sonstige Systeme
FHEM/52_I2C_BME280           klausw               Sonstige Systeme
