Files with a maintainer. If you wish to change a file, please contact the
maintainer of the file to do the change.

The third column specifies, where/how the maintainer should be contacted. If
there is no reaction from the mainainer within 3 weeks, then rudolfkoenig
(forum.fhem.de/FHEM Forum) should be contacted, in order to assign a new
maintainer.

When adding a new file, add yourself as the maintainer.

File                         Maintainer           Forum
FHEM/98_GEOFANCY.pm          loredo               Unterstuetzende Dienste
FHEM/98_HMinfo.pm            martinp876           HomeMatic
FHEM/98_Heating_Control.pm   igami                Unterstuetzende Dienste
FHEM/98_HTTPMOD.pm           stefanstrobel        Sonstiges
FHEM/98_Arducounter.pm       stefanstrobel        Sonstiges
FHEM/98_Hyperion.pm          DeeSPe               Beleuchtung
FHEM/98_IF.pm                damian-s             Automatisierung
FHEM/98_JsonList2.pm         rudolfkoenig         Automatisierung
FHEM/98_Modbus.pm            stefanstrobel        Sonstiges
FHEM/98_ModbusAttr.pm        stefanstrobel        Sonstiges
FHEM/98_ModbusSET.pm         stefanstrobel        Sonstiges
FHEM/98_ModbusTrovis5576.pm  Reinerlein           Heizungssteuerung/Raumklima
FHEM/98_PID20.pm             John                 Automatisierung
FHEM/98_RandomTimer.pm       igami                Unterstuetzende Dienste/Kalendermodule
FHEM/98_SVG.pm               rudolfkoenig         Frontends/SVG/Plots/logProxy
FHEM/98_THRESHOLD.pm         damian-s             Automatisierung
FHEM/98_TRAFFIC.pm           jmike                Unterstuetzende Dienste
FHEM/98_UbiquitiPM.pm        Wzut                 Sonstige Systeme
FHEM/98_UbiquitiOut.pm       Wzut                 Sonstige Systeme
FHEM/98_Verkehrsinfo.pm      martins              Unterstuetzende Dienste
FHEM/98_WeekdayTimer.pm      igami                Unterstuetzende Dienste
FHEM/98_WOL.pm               dietmar63            Unterstuetzende Dienste
FHEM/98_XmlList.pm           rudolfkoenig         Automatisierung
FHEM/96_allowed.pm           rudolfkoenig         Automatisierung
FHEM/96_archetype.pm         igami                Automatisierung
FHEM/98_autocreate.pm        rudolfkoenig         Automatisierung
FHEM/98_average.pm           rudolfkoenig         Automatisierung
FHEM/98_backup.pm            rudolfkoenig         Sonstiges
FHEM/98_cloneDummy.pm        Joachim              Automatisierung
FHEM/98_cmdalias.pm          rudolfkoenig         Automatisierung
FHEM/98_configdb.pm          betateilchen         Sonstiges
FHEM/98_copy.pm              justme1968           Sonstiges
FHEM/98_count.pm             betateilchen         Sonstiges
FHEM/98_CustomReadings.pm    HCS                  Unterstuetzende Dienste
FHEM/98_dewpoint.pm          hotbso               Automatisierung
FHEM/98_Dooya.pm             Jarnsen/ralf9/darkmission        Sonstige Systeme
FHEM/98_dummy.pm             rudolfkoenig         Automatisierung
FHEM/98_expandJSON.pm        dev0                 Unterstuetzende Dienste
FHEM/98_feels_like.pm        hotbso               Wettermodule
FHEM/98_fheminfo.pm          betateilchen         Sonstiges
FHEM/98_fhemdebug.pm         rudolfkoenig         Sonstiges
FHEM/98_freezemon            KernSani             Unterstuetzende Dienste 	
FHEM/98_GoogleAuth.pm        betateilchen         Unterstuetzende Dienste
FHEM/98_GOOGLECAST.pm        dominikkarall        Multimedia
FHEM/98_help.pm              betateilchen         Sonstiges
FHEM/98_HourCounter.pm       john                 MAX
FHEM/98_logProxy.pm          justme1968           Frontends/SVG Plots logProxy
FHEM/98_mark.pm              betateilchen         Sonstiges
FHEM/98_MaxScanner.pm        john                 MAX
FHEM/98_monitoring.pm        igami                Automatisierung
FHEM/98_notice.pm            mfr69bs              Sonstiges
FHEM/98_pilight.pm           andreas-fey          Unterstuetzende Dienste
FHEM/98_ping                 mattwire             Sonstiges
FHEM/98_powerMap             igami                Unterstuetzende Dienste
FHEM/98_QRCode.pm            Benni                Unterstuetzende Dienste
FHEM/98_rain.pm              baumrasen            Sonstiges
FHEM/98_restore.pm           rudolfkoenig         Sonstiges
FHEM/98_rssFeed.pm           Benni                Unterstuetzende Dienste
FHEM/98_statistics.pm        tupol                Unterstuetzende Dienste (Link als PM an tupol)
FHEM/98_structure.pm         rudolfkoenig         Automatisierung
FHEM/98_Siro.pm              Byte09 / Dr. Smag    Sonstige Systeme
FHEM/98_telnet.pm            rudolfkoenig         Automatisierung
FHEM/98_update.pm            rudolfkoenig         Sonstiges
FHEM/98_version.pm           markusbloch          Sonstiges
FHEM/98_weblink.pm           rudolfkoenig         Frontends/FHEMWEB
FHME/98_weekprofile.pm       risiko               Frontends
FHEM/98_STOCKQUOTES.pm       vbs                  Unterstuetzende Dienste
FHEM/99_SUNRISE_EL.pm        rudolfkoenig         Automatisierung
FHEM/99_Utils.pm             rudolfkoenig         Automatisierung
FHEM/99_Venetian.pm          Christian.Kühnel     Automatisierung
FHEM/Blocking.pm             rudolfkoenig         Automatisierung
FHEM/DevIo.pm                rudolfkoenig         Sonstiges
FHEM/Color.pm                justme1968           Sonstiges
FHEM/FritzBoxUtils.pm        rudolfkoenig         FRITZ!Box
FHEM/HMCCUConf.pm            zap                  HomeMatic
FHEM/HMConfig.pm             martinp876           HomeMatic
FHEM/HOMESTATEtk.pm          loredo               Automatisierung
FHEM/HttpUtils.pm            rudolfkoenig         Automatisierung
FHEM/MaxCommon.pm            rudolfkoenig/orphan  MAX
FHEM/msgSchema.pm            loredo               Automatisierung
FHEM/ONKYOdb.pm              loredo               Multimedia
FHEM/OWX_DS2480.pm           ntruchsess           1Wire
FHEM/OWX_DS9097.pm           ntruchsess           1Wire
FHEM/OWX_FRM.pm              ntruchsess           1Wire
FHEM/OWX_SER.pm              ntruchsess           1Wire
FHEM/RESIDENTStk.pm          loredo               Automatisierung
FHEM/SetExtensions.pm        rudolfkoenig         Automatisierung
FHEM/SHC_datafields.pm       rr2000               Sonstige Systeme
FHEM/SHC_parser.pm           rr2000               Sonstige Systeme
FHEM/SubProcess.pm           neubert              FHEM Development
FHEM/TcpServerUtils.pm       rudolfkoenig         Automatisierung
FHEM/TimeSeries.pm           neubert     /jensb   FHEM Development
FHEM/TR064Utils.pm           rudolfkoenig         Automatisierung
FHEM/UConv.pm                loredo               FHEM Development
FHEM/Unit.pm                 loredo               FHEM Development
FHEM/YahooWeatherAPI.pm      neubert              Unterstuetzende Dienste/Wettermodule
FHEM/lib/Device/Firmata/*    jensb                Sonstige Systeme
FHEM/lib/Device/MySensors/*  Hauswart             Sonstige Systeme
FHEM/lib/MP3/*               Reinerlein           Multimedia
FHEM/lib/Net/MQTT.pod        eisler               MQTT
FHEM/lib/Net/MQTT/*          eisler               MQTT
FHEM/lib/ProtoThreads.pm     ntruchsess           FHEM Development
FHEM/lib/SHC_packet_layout.xml  rr2000            Sonstige Systeme
FHEM/lib/SWAP/*              justme1968           Sonstige Systeme
FHEM/lib/UPnP/*              Reinerlein           Multimedia
FHEM/lib/*deviceconfig.xml.gz        krikan       ZWave
FHEM/lib/*manufacturer_specific.xml  krikan       ZWave
FHEM/FhemUtils/*             mfr69bs              Sonstiges
FHEM/GPUtils.pm              ntruchsess           FHEM Development

contrib/23_WEBTHERM.pm       betateilchen/sachag  Sonstiges
contrib/70_ONKYO_AVR_PULL.pm loredo               Multimedia
contrib/92_rsyslog.pm        DS_Starter           Automatisierung
contrib/98_exportdevice.pm   loredo               Sonstiges
contrib/98_EDIPLUG.pm        Wzut                 Sonstige Systeme
contrib/98_FileLogConvert.pm DeeSPe               Automatisierung
contrib/betateilchen/*       betateilchen         Sonstiges
holiday/by_ext.holiday       loredo               Sonstiges
holiday/de_social.holiday    loredo               Sonstiges
contrib/DEBIAN/*             betateilchen         Sonstiges
contrib/Infratec/*           wzut                 Bastelecke
contrib/PRESENCE             markusbloch          Unterstuetzende Dienste
contrib/PRESENCE/lepresenced PatrickR             Unterstuetzende Dienste
contrib/SIP/*                wzut                 Sonstiges
contrib/WebViewControl/*     Dirk                 Mobile Devices
contrib/Widgets/DateTimePicker* Matscher          Frontends
contrib/YAF/*                MarcP                Frontends

www/codemirror/*             rapster              Frontends
www/frontend/*               johannnes            Frontends
www/gplot/*                  rudolfkoenig         Frontends/SVG/Plots/logProxy
www/images/*                 Wuppi68              Frontends
www/jscolor/*                justme1968           Frontends
www/pgm2/*                   rudolfkoenig         Frontends/FHEMWEB
www/pgm2/dashboard/*         svenson08            Frontends
www/pgm2/fhemweb_fbcalllist.js       markusbloch  Frontends
www/pgm2/doif.js                     Ellert       Frontends
www/pgm2/fhemweb_iconButtons.js      Ellert       Frontends
www/pgm2/fhemweb_iconLabel.js        Ellert       Frontends
www/pgm2/fhemweb_iconRadio.js        Ellert       Frontends
www/pgm2/fhemweb_iconSwitch.js       Ellert       Frontends
www/pgm2/fhemweb_readingsGroup.js    justme1968   Frontends/readingsGroup readingsHistory
www/pgm2/fhemweb_readingsHistory.js  justme1968   Frontends/readingsGroup readingsHistory
www/pgm2/fhemweb_sortable.js         markusbloch  Frontends
www/pgm2/fhemweb_uzsu.js             justme1968   Frontends
www/pgm2/fhemweb_weekprofile.js      risiko       Frontends

docs/fhem-floorplan-*        ulimaass             Sonstiges
docs/*                       rudolfkoenig         Sonstiges

http://debian.fhem.de        betateilchen         Sonstiges

Files that every developer should modify/extend
  MAINTAINER.txt
  CHANGED
  HISTORY
